"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","name","label"
0.55,0.475,2,-11.671,0,0.112,0.00114,0.0939,0.0674,0.364,146.155,"2DesBnHHgHWnA6jYzpUYQM","Doep","beats"
0.631,0.645,8,-11.609,0,0.126,0.371,0.586,0.111,0.23,133.889,"7bG6euhNUTbgkXQQLTXRj5","The Sea Liner MK 1","beats"
0.887,0.419,10,-10.961,0,0.353,0.114,0.268,0.129,0.576,96.149,"6GAemDMWAXa8wZOBkO1gar","Buggin' Out","beats"
0.853,0.318,1,-11.538,1,0.226,0.239,0.83,0.123,0.412,93.097,"3Jp9ys8LTCzv9jPe0t8fHB","Rue The Whirl","beats"
0.916,0.455,10,-8.446,0,0.23,0.00306,0.000742,0.714,0.562,92.097,"3dOzhSPnBrRIcPyDUAqQYd","Devil's Pie","beats"
0.718,0.739,1,-3.645,0,0.0604,0.0729,0.926,0.44,0.883,101.939,"2ALtLX21M2BC0kks8C3npz","Popcorn","beats"
0.674,0.874,0,-7.017,1,0.29,0.159,0.00639,0.0945,0.101,139.95,"49aTv96mDjvlDb74XvVSc9","Hoarse","beats"
0.857,0.441,0,-6.649,1,0.0452,0.197,0.00123,0.108,0.625,91.977,"0fp50tbUZvhA4LO0GrwYRu","Phone Down","beats"
0.659,0.692,9,-5.957,0,0.0468,0.037,0.00325,0.0701,0.289,100.022,"6G58MTqwOVIqngi7XwQLOQ","Video Girl","beats"
0.389,0.537,9,-11.324,1,0.123,0.108,0.522,0.11,0.101,83.982,"4QHKZ7PInJ4vSMqT5yGKEA","Shipibo Icaro","beats"
0.722,0.828,8,-3.227,0,0.19,0.0505,0,0.114,0.275,117.693,"6psC59ooTxage8npmtg74G","Do The Astral Plane","beats"
0.653,0.7,11,-15.138,0,0.038,0.692,0.859,0.102,0.51,132.944,"133Ua3dR8fOR8uP7adVcL4","Parallel Jalebi","beats"
0.654,0.292,2,-12.977,1,0.474,0.0962,0.0031,0.106,0.103,153.547,"1wFIjJSHobXpNDbSfe8Gdb","River","beats"
0.448,0.474,7,-13.279,1,0.264,0.583,0.539,0.0873,0.255,83.585,"1pXh5AoqDehhfWbWfwCYXM","advice to young girls","beats"
0.753,0.592,11,-8.514,0,0.161,0.0112,0.904,0.297,0.25,120.497,"0v28yw3uylmpD7uk7J4TbA","Ra","beats"
0.816,0.596,11,-11.843,1,0.055,0.0622,0.463,0.101,0.193,103.018,"7xTGkhPZcr4iSpnRV1lSFU","Minato","beats"
0.633,0.375,6,-10.949,1,0.0806,0.507,0.626,0.116,0.675,80.065,"7h14W1uQK7sjpVI1oVTobt","Wandering Star","beats"
0.654,0.402,1,-9.318,0,0.522,0.0354,0.00305,0.109,0.548,205.865,"3XY37pV75Ep9ubtcJNNNPj","Because","beats"
0.628,0.4,8,-10.619,0,0.235,0.0843,0.0116,0.0891,0.243,138.747,"7LaYjv3Wnbvf0t7uMAQ7Q2","BIG BOI","beats"
0.819,0.671,5,-6.947,0,0.393,0.156,0.000136,0.2,0.546,129.921,"5ncaItaEFFC9ZBMb5jSC2b","Agorinha","beats"
0.689,0.842,7,-8.471,1,0.0488,0.133,0.903,0.0657,0.429,109.931,"7wAPKByejF2gAMm9PoWkXN","Sweet Sticky","beats"
