"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","label","name"
0.26,0.455,2,-12.236,0,0.0449,0.0235,0.953,0.146,0.0279,100.697,"4CMPP9drjVIOo8sH3g5mLL","rando","Boring Angel"
0.37,0.714,4,-6.267,0,0.439,0.0582,0.311,0.201,0.367,175.959,"1lLyWlKuZrgeKmfiybM1S8","rando","Still Broke"
0.543,0.518,11,-8.678,1,0.0376,0.617,0,0.1,0.384,96.099,"53OpS1Y9GMeMdweha7N1NX","rando","Por Siempre"
0.644,0.586,0,-10.311,1,0.0297,0.888,0.957,0.0966,0.983,106.664,"1KsPi0McDgRINw6ClJoyUP","rando","True Blue"
0.723,0.691,0,-9.161,1,0.0289,0.55,0.488,0.103,0.314,100.044,"2eULWvsaSv1ZLsWAd1b3tt","rando","Annual Moon Words"
0.658,0.451,3,-11.453,1,0.0386,0.857,0.000262,0.179,0.961,85.001,"6rIKdzOQjc2Pv7p0GJYA5c","rando","De Camino a La Vereda"
0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,"3PFaFVWq5wucLu6s4baj9D","rando","Girl"
0.798,0.748,8,-10.852,1,0.0427,0.283,0.779,0.108,0.729,129.673,"2SNyWSAww0IJHd5KsbJFuq","rando","None But Shining Hours"
0.316,0.801,4,-7.154,1,0.171,0.261,0.155,0.301,0.499,153.086,"1ZOPqVD7vdydwfY6faIsPT","rando","Go Easy"
0.322,0.615,11,-10.774,1,0.0427,0.507,0.819,0.0677,0.0361,167.95,"4Y2W4zKa3q72ztbkA0r8Va","rando","Dayvan Cowboy"
0.896,0.591,8,-12.15,1,0.102,0.154,0.755,0.11,0.122,124.012,"38tGRrWzazDjpj4jP2rAQt","rando","Fuck Diamond"
0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662,"3Jc6X15OZCCyhGSHBF4hwB","rando","House Of Cards"
0.26,0.989,9,-5.526,0,0.153,8.73e-05,0.863,0.306,0.245,116.869,"7dezveZHdDyTs0OJfnbwt1","rando","Lie Lied Lies"
0.47,0.761,1,-8.848,1,0.45,0.00397,0.218,0.291,0.629,190.519,"0uY5KLXhxKgvwIM28vjuZw","rando","Dark Alley Incidental Music"
0.63,0.429,5,-15.54,1,0.0356,0.261,0.85,0.309,0.168,112.93,"4x7XJOE2ml2P3o3i77466j","rando","Kid A"
0.613,0.549,5,-16.567,1,0.0521,0.0364,0.691,0.0979,0.278,151.967,"3mBvn2kXzKTMNCgcSriF3n","rando","Where I'm Going"
0.866,0.674,7,-10.906,1,0.0991,0.158,0.00053,0.0522,0.967,118.576,"37kkHqpkzTEGOJYHRb6JZG","rando","Girlfriend Is Better"
0.824,0.284,0,-12.95,1,0.0326,0.00231,0.938,0.346,0.597,86.014,"2mLuNUD3GuhQasUBOQH24E","rando","Quincy's 2000"
0.752,0.533,11,-8.986,0,0.0348,0.151,5.05e-05,0.114,0.461,114.984,"2R1Q4cxCUuOK7SJzxblk5k","rando","Under"
0.619,0.911,1,-9.239,1,0.169,0.0306,0.349,0.216,0.241,134.846,"0vW2Jt7DT47wKTtJ4tfR9A","rando","Rituals of Passage"
0.767,0.737,2,-9.329,1,0.0926,0.0377,0.0866,0.0948,0.2,82.465,"64CUMDH563yq2N7K5djR63","rando","Detroit Part 1"
0.629,0.157,3,-17.373,1,0.0448,0.973,0.936,0.0926,0.339,82.975,"5TyFxf6jGmvn104KzY6dUL","rando","Gone (Reprise)"
0.767,0.784,7,-5.022,1,0.161,0.137,0.00785,0.387,0.71,84.996,"6YXPdob46MhSXZFpRDK0sy","rando","Never Let You Go"
0.513,0.406,6,-11.506,1,0.288,0.899,0.116,0.144,0.414,140.598,"7py2WaW5T3ArhfZ3lSMOSG","rando","My Dog's Eyes"
0.401,0.043,3,-17.24,0,0.048,0.971,5.84e-05,0.097,0.154,135.793,"73Uc6U9BTEFoGP5ywB6MLr","rando","f.o.r.e.v.e.r."
0.715,0.703,5,-3.825,1,0.0503,0.192,0,0.113,0.596,119.749,"0PJIbOdMs3bd5AT8liULMQ","rando","oui"
0.758,0.517,9,-7.607,1,0.0294,0.0495,0.0025,0.0994,0.368,107.09,"6DRmsPGcnVx5kKIApW8lUO","rando","At Your Door"
0.518,0.57,2,-4.686,1,0.0292,0.0654,0.792,0.105,0.0414,126.038,"0QMNrroq08iZ3BEy8EW5dr","rando","Wrap Your Arms Around Me"
0.584,0.67,7,-7.077,1,0.164,0.0331,7.18e-06,0.109,0.233,193.8,"12C1XYFQGZYXRYJNbsgDc7","rando","Feel No Ways"
0.718,0.739,1,-3.645,0,0.0604,0.0729,0.926,0.44,0.883,101.939,"2ALtLX21M2BC0kks8C3npz","rando","Popcorn"
0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,"67Hna13dNDkZvBpTXRIaOJ","rando","Teardrop"
0.675,0.27,0,-14.297,0,0.0363,0.807,0.909,0.0938,0.402,135.011,"1cd1hxgyKvm5uPhx2QJFy8","rando","Follow"
0.516,0.56,5,-14.453,0,0.0317,0.0476,0.85,0.177,0.122,130.01,"7iZOTi2PEtjXoEJfRCo4IR","rando","Evening"
0.375,0.0398,8,-23.385,0,0.0395,0.992,0.00216,0.118,0.0854,121.48,"3YZk0pVNHJHTbfMNYrshMN","rando","Still Light"
0.83,0.675,1,-7.362,0,0.038,0.391,0.134,0.129,0.573,135.017,"0HbTx8ljB6v1aglbuzZQZl","rando","Cel U Lar Device"
0.813,0.596,6,-9.604,1,0.17,0.00763,0.189,0.52,0.45,104.005,"7uS7EsFhPT74Wbqtd5f7Nl","rando","Respeto"
0.6,0.523,7,-14.894,1,0.0331,0.0663,0.00564,0.224,0.738,120.8,"5umI2Ra11zPhee5ShYXps2","rando","Brick Is Red"
0.281,0.551,10,-8.309,1,0.0672,0.000519,0.0839,0.323,0.269,91.867,"01e4KUhkyzTJC2FjBkEmsn","rando","Sticky Drama"
0.411,0.356,8,-10.323,1,0.186,0.907,3.44e-05,0.0871,0.0667,72.223,"0tJk0fc0mbvxktb6dXiqIz","rando","So"
0.51,0.52,6,-9.07,1,0.732,0.68,0,0.72,0.407,85.161,"1WT11QmhZutciEv1NsHt1R","rando","Mortal Man"
0.472,0.664,6,-8.141,0,0.365,0.0882,1.27e-06,0.182,0.708,85.255,"0WlrMVgbDgSZuZwP2QpwMf","rando","The Front"
0.444,0.722,1,-9.402,0,0.0283,0.00147,0.887,0.184,0.285,109.038,"7qsJNMUrda3ikojO2IPcdK","rando","Print"
0.366,0.278,9,-14.607,0,0.0372,0.579,0.929,0.0726,0.366,147.896,"6K9gVkteaJeNx4vJiRfTNG","rando","Riparian"
0.502,0.801,1,-9.49,1,0.409,0.303,7.27e-06,0.199,0.334,98.247,"7kF3pqmT3wAYq8m8HsGoOB","rando","Mantra"
0.555,0.906,3,-5.196,1,0.0342,0.518,0.619,0.212,0.478,126.982,"0ig9qLenoEShtGuX1lSb47","rando","We Carry On"
0.463,0.803,1,-10.335,1,0.137,0.0112,0.313,0.154,0.546,150.176,"1I8en43wLBZseccvoCs5jU","rando","Mambo"
0.439,0.405,11,-10.383,0,0.107,0.689,0.0898,0.106,0.338,85.851,"2wZYriB7lqjMzCvIwyuLu2","rando","O'Sullivan's March"
0.403,0.556,11,-11.997,0,0.0569,0.00371,0.922,0.204,0.134,160.876,"6dgn4UMOIOXIRYUvYfOx6d","rando","Carbon 7 (161)"
0.459,0.724,2,-8.646,1,0.369,0.0158,0.0142,0.108,0.505,114.225,"3DMmSqXfyUSveO9kX2qI8W","rando","Strapped"
0.447,0.341,6,-8.525,1,0.0254,0.251,0.00089,0.0929,0.279,76.065,"47AWNOz2XaEok0QZwYVynL","rando","Till Death"
0.432,0.63,0,-6.689,1,0.0539,0.0443,0,0.132,0.463,78.83,"3jyEHFZNbdK7mAtaCcKBnc","rando","Shotgun"
0.639,0.746,10,-8.678,0,0.169,0.0213,0.97,0.291,0.348,95,"4i07cKVU8sPjcMXu4Vdoze","rando","Kingsley"
0.619,0.0443,9,-16.539,1,0.42,0.953,0,0.289,0.206,170.376,"3i1gik5SQQXn2PWlB8z6jl","rando","Coração do Mar"
0.422,0.027,8,-18.526,0,0.0848,0.906,0.00613,0.175,0.0989,127.219,"4cfr1WuhlXvWZT8QYJsIJQ","rando","Valve"
0.671,0.439,8,-11.181,1,0.0408,0.784,0.145,0.13,0.7,112.208,"4jsgnWWPKM45CHfju35xqL","rando","Locomotive"
0.704,0.702,11,-5.852,0,0.154,0.596,0.831,0.227,0.256,87.391,"1JT3GzUn4dZUVSuOuGlRlH","rando","Burdock Root"
0.525,0.735,2,-5.58,1,0.0245,0.0256,0.139,0.208,0.631,165.954,"2tYzS0a3NwrVnXHNEQvygC","rando","Judge"
0.674,0.773,3,-5.641,1,0.038,0.14,0.000425,0.0923,0.873,108.552,"4BrsRLsHBvnFZkS8yeTvAE","rando","Cash Cow"
0.611,0.621,9,-6.504,0,0.253,0.216,0,0.287,0.28,127.796,"1eZsaTts7jJowUbSclDQ0u","rando","Jupiter"
0.825,0.458,11,-14.381,1,0.0706,0.373,0.812,0.0958,0.353,118.888,"6mJnTIVXy7XetCFqrdoRBX","rando","Heal Yourself And Move"
0.724,0.482,1,-8.645,0,0.0539,0.739,0.00503,0.104,0.757,82.244,"4xBk5YBUkEFz5gVP74y6pc","rando","Águas de Março"
0.835,0.756,7,-3.789,1,0.382,0.23,0,0.0801,0.87,173,"12d5QFwzh60IIHlsSnAvps","rando","10 Bands"
