"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","pitch","timbre","plylst_lbl"
0.55,0.475,2,-11.671,0,0.112,0.00114,0.0939,0.0674,0.379,146.155,0.390833333333333,16.9706666666667,1
0.631,0.645,8,-11.609,0,0.126,0.371,0.586,0.111,0.224,133.889,0.620333333333333,12.0873333333333,1
0.887,0.419,10,-10.961,0,0.353,0.114,0.268,0.129,0.578,96.149,0.640083333333333,3.7025,1
0.853,0.318,1,-11.538,1,0.226,0.239,0.83,0.123,0.413,93.097,0.164083333333333,26.2249166666667,1
0.916,0.455,10,-8.446,0,0.23,0.00306,0.000742,0.714,0.553,92.097,0.288,5.10033333333333,1
0.718,0.739,1,-3.645,0,0.0604,0.0729,0.926,0.44,0.887,101.939,0.31825,-4.756,1
0.674,0.874,0,-7.017,1,0.29,0.159,0.00639,0.0945,0.0973,139.95,0.1505,-8.14791666666667,1
0.857,0.441,0,-6.649,1,0.0452,0.197,0.00123,0.108,0.637,91.977,0.169833333333333,-10.31525,1
0.659,0.692,9,-5.957,0,0.0468,0.037,0.00325,0.0701,0.285,100.022,0.3615,24.007,1
0.389,0.537,9,-11.324,1,0.123,0.108,0.522,0.11,0.0911,83.982,0.416416666666667,13.21825,1
0.722,0.828,8,-3.227,0,0.19,0.0505,0,0.114,0.278,117.693,0.438666666666667,-3.9005,1
0.653,0.7,11,-15.138,0,0.038,0.692,0.859,0.102,0.51,132.944,0.203583333333333,-0.434250000000001,1
0.654,0.292,2,-12.977,1,0.474,0.0962,0.0031,0.106,0.111,153.547,0.10325,14.70225,1
0.448,0.474,7,-13.279,1,0.264,0.583,0.539,0.0873,0.266,83.585,0.39375,20.134,1
0.753,0.592,11,-8.514,0,0.161,0.0112,0.904,0.297,0.254,120.497,0.141583333333333,1.87008333333333,1
0.816,0.596,11,-11.843,1,0.055,0.0622,0.463,0.101,0.194,103.018,0.38575,3.01175,1
0.633,0.375,6,-10.949,1,0.0806,0.507,0.626,0.116,0.672,80.065,0.3835,4.01541666666667,1
0.654,0.402,1,-9.318,0,0.522,0.0354,0.00305,0.109,0.555,205.865,0.26725,14.7435833333333,1
0.628,0.4,8,-10.619,0,0.235,0.0843,0.0116,0.0891,0.234,138.747,0.227916666666667,6.23541666666667,1
0.819,0.671,5,-6.947,0,0.393,0.156,0.000136,0.2,0.555,129.921,0.284083333333333,7.24133333333333,1
0.689,0.842,7,-8.471,1,0.0488,0.133,0.903,0.0657,0.434,109.931,0.205083333333333,9.71458333333333,1
0.61,0.704,0,-12.56,1,0.0291,0.000136,0.96,0.0999,0.176,129.011,0.471583333333333,10.481,0
0.348,0.532,10,-13.893,0,0.0823,0.00326,0.152,0.448,0.232,146.221,0.399166666666667,-11.2851666666667,0
0.344,0.598,1,-8.351,0,0.0497,0.00168,1.86e-05,0.128,0.403,106.483,0.4575,19.4379166666667,0
0.417,0.00392,5,-24.865,0,0.0872,0.996,0.922,0.098,0.0378,93.139,0.232,3.76683333333333,0
0.392,0.393,3,-7.702,1,0.0569,0.382,0.851,0.0629,0.331,119.965,0.118916666666667,3.50558333333333,0
0.712,0.644,10,-11.184,0,0.046,0.763,0.878,0.101,0.387,122.978,0.1565,9.82283333333333,0
0.444,0.722,1,-9.402,0,0.0283,0.00147,0.887,0.184,0.286,109.038,0.212666666666667,13.0353333333333,0
0.423,0.693,1,-12.316,1,0.0869,0.065,0.536,0.344,0.426,119.907,0.395416666666667,21.5564166666667,0
0.562,0.445,10,-16.71,0,0.0579,0.783,0.872,0.0918,0.0534,125.695,0.216333333333333,0.18925,0
0.29,0.879,8,-9.061,1,0.0896,0.388,0.81,0.445,0.0372,85.564,0.2835,9.40633333333333,0
0.414,0.724,7,-7.646,1,0.199,0.00267,0.0441,0.153,0.469,125.918,0.280083333333333,10.7128333333333,0
0.263,0.0281,8,-23.165,1,0.0447,0.725,0.587,0.15,0.0376,135.349,0.195916666666667,6.77666666666667,0
0.482,0.412,2,-13.554,1,0.23,0.776,0.000425,0.381,0.372,171.447,0.21325,6.66091666666667,0
0.632,0.726,6,-8.613,0,0.227,0.0573,0.373,0.257,0.203,119.944,0.450166666666667,-7.024,0
0.698,0.795,1,-7.369,1,0.0597,0.774,0,0.195,0.963,125.945,0.550083333333333,12.1236666666667,0
0.295,0.539,5,-9.851,1,0.0457,0.1,0.822,0.116,0.232,107.841,0.34975,-4.66383333333333,0
0.34,0.506,0,-10.128,1,0.0372,0.298,0.92,0.11,0.0388,142.378,0.0850833333333333,-19.84375,0
0.512,0.322,5,-13.035,0,0.0463,0.711,0.0128,0.133,0.463,158.143,0.49075,-10.4489166666667,0
0.54,0.00817,9,-29.685,0,0.0479,0.995,0.745,0.0916,0.186,72.473,0.156666666666667,19.1305,0
0.192,0.206,11,-12.194,0,0.0391,0.875,0.303,0.0538,0.0267,147.347,0.394166666666667,12.7636666666667,0
0.739,0.451,10,-10.812,1,0.0399,0.654,0.911,0.2,0.36,120.003,0.123166666666667,6.51116666666667,0
0.854,0.452,11,-8.726,0,0.106,0.0105,0.87,0.112,0.413,120.012,0.20375,2.28708333333333,0
